name_long,Total,Mammals,Birds,Amphibians ,Reptiles,,,,,,,
Indonesia,69,30,5,10,24,,,,,,,
Mexico,33,5,2,9,17,,,,,Rank,Revenants ,High discovery probablity 
Brazil,29,6,1,16,6,,,,,1,Indonesia,Brazil
India,24,2,2,11,9,,,,,2,Mexico,Colombia
Colombia,23,1,1,9,12,,,,,3,Brazil,Peru
Philippines,23,6,2,0,15,,,,,4,India,Madagascar
Venezuela,22,1,1,9,11,,,,,5,Colombia,Indonesia 
Papua New Guinea,22,4,4,6,8,,,,,,,
Peru,19,5,0,6,8,,,,,,,
Democratic Republic of the Congo,18,9,2,7,0,,,,,,,
Ecuador,17,0,1,7,9,,,,,,,
Tanzania,15,1,0,4,10,,,,,,,
Malaysia,15,2,1,4,8,,,,,,,
Myanmar,15,2,0,5,8,,,,,,,
Kenya,9,1,0,1,7,,,,,,,
China,9,5,1,1,2,,,,,,,
Haiti,8,0,0,0,8,,,,,,,
Thailand,8,1,0,2,5,,,,,,,
Panama,8,0,0,1,7,,,,,,,
Jamaica,7,0,2,0,5,,,,,,,
Angola,7,3,0,2,2,,,,,,,
Solomon Islands,7,5,1,0,1,,,,,,,
Madagascar,6,2,0,0,4,,,,,,,
Chile,6,0,0,4,2,,,,,,,
Bolivia,5,0,0,0,5,,,,,,,
Australia,5,1,0,1,3,,,,,,,
Vietnam,5,1,0,2,2,,,,,,,
New Caledonia,5,0,4,0,1,,,,,,,
Iran,4,0,0,0,4,,,,,,,
Mozambique,4,1,0,0,3,,,,,,,
Nigeria,4,1,0,0,3,,,,,,,
Liberia,4,0,0,2,2,,,,,,,
Costa Rica,4,1,1,1,1,,,,,,,
Guyana,4,0,1,2,1,,,,,,,
Argentina,4,2,0,2,0,,,,,,,
Cameroon,4,1,0,3,0,,,,,,,
United States,4,1,2,1,0,,,,,,,
Puerto Rico,3,0,0,0,3,,,,,,,
United States Virgin Islands,3,0,0,0,3,,,,,,,
Ghana,3,1,0,0,2,,,,,,,
Ethiopia,3,3,0,0,0,,,,,,,
Nicaragua,2,0,0,0,2,,,,,,,
Yemen,2,0,0,0,2,,,,,,,
Barbados,2,0,1,0,1,,,,,,,
Cuba,2,1,0,0,1,,,,,,,
Guatemala,2,1,0,0,1,,,,,,,
Guinea-Bissau,2,1,0,0,1,,,,,,,
Paraguay,2,1,0,0,1,,,,,,,
Honduras,2,0,0,2,0,,,,,,,
Japan,2,2,0,0,0,,,,,,,
Republic of Congo,2,2,0,0,0,,,,,,,
Samoa,2,1,1,0,0,,,,,,,
Singapore,2,1,0,1,0,,,,,,,
Somalia,2,2,0,0,0,,,,,,,
South Africa,2,2,0,0,0,,,,,,,
Bahamas,1,0,0,0,1,,,,,,,
Benin,1,0,0,0,1,,,,,,,
British Virgin Islands,1,0,0,0,1,,,,,,,
Chad,1,0,0,0,1,,,,,,,
Dominican Republic,1,0,0,0,1,,,,,,,
Eritrea,1,0,0,0,1,,,,,,,
Malawi,1,0,0,0,1,,,,,,,
Mauritania,1,0,0,0,1,,,,,,,
Mongolia,1,0,0,0,1,,,,,,,
Morocco,1,0,0,0,1,,,,,,,
Namibia,1,0,0,0,1,,,,,,,
Palau,1,0,0,0,1,,,,,,,
Rwanda,1,0,0,0,1,,,,,,,
Saint-Martin,1,0,0,0,1,,,,,,,
Sierra Leone,1,0,0,0,1,,,,,,,
Spain,1,0,0,0,1,,,,,,,
The Gambia,1,0,0,0,1,,,,,,,
Vanuatu,1,0,0,0,1,,,,,,,
Cambodia,1,1,0,0,0,,,,,,,
Central African Republic,1,1,0,0,0,,,,,,,
Equatorial Guinea,1,1,0,0,0,,,,,,,
Gabon,1,0,0,1,0,,,,,,,
Lao PDR,1,0,0,1,0,,,,,,,
New Zealand,1,1,0,0,0,,,,,,,
Republic of Korea,1,1,0,0,0,,,,,,,
Russian Federation,1,0,1,0,0,,,,,,,
Saint Lucia,1,0,1,0,0,,,,,,,
South Sudan,1,0,0,1,0,,,,,,,
Sudan,1,1,0,0,0,,,,,,,
Suriname,1,0,0,1,0,,,,,,,
Togo,1,1,0,0,0,,,,,,,
Tunisia,1,1,0,0,0,,,,,,,
Uganda,1,1,0,0,0,,,,,,,
Uruguay,1,1,0,0,0,,,,,,,
Zambia,1,0,1,0,0,,,,,,,
Afghanistan,0,0,0,0,0,,,,,,,
Aland Islands,0,0,0,0,0,,,,,,,
Albania,0,0,0,0,0,,,,,,,
Algeria,0,0,0,0,0,,,,,,,
American Samoa,0,0,0,0,0,,,,,,,
Andorra,0,0,0,0,0,,,,,,,
Anguilla,0,0,0,0,0,,,,,,,
Antarctica,0,0,0,0,0,,,,,,,
Antigua and Barbuda,0,0,0,0,0,,,,,,,
Armenia,0,0,0,0,0,,,,,,,
Aruba,0,0,0,0,0,,,,,,,
Ashmore and Cartier Islands,0,0,0,0,0,,,,,,,
Austria,0,0,0,0,0,,,,,,,
Azerbaijan,0,0,0,0,0,,,,,,,
Bahrain,0,0,0,0,0,,,,,,,
Bangladesh,0,0,0,0,0,,,,,,,
Belarus,0,0,0,0,0,,,,,,,
Belgium,0,0,0,0,0,,,,,,,
Belize,0,0,0,0,0,,,,,,,
Bermuda,0,0,0,0,0,,,,,,,
Bhutan,0,0,0,0,0,,,,,,,
Bosnia and Herzegovina,0,0,0,0,0,,,,,,,
Botswana,0,0,0,0,0,,,,,,,
British Indian Ocean Territory,0,0,0,0,0,,,,,,,
Brunei Darussalam,0,0,0,0,0,,,,,,,
Bulgaria,0,0,0,0,0,,,,,,,
Burkina Faso,0,0,0,0,0,,,,,,,
Burundi,0,0,0,0,0,,,,,,,
Canada,0,0,0,0,0,,,,,,,
Cape Verde,0,0,0,0,0,,,,,,,
Cayman Islands,0,0,0,0,0,,,,,,,
Comoros,0,0,0,0,0,,,,,,,
Cook Islands,0,0,0,0,0,,,,,,,
Côte d'Ivoire,0,0,0,0,0,,,,,,,
Croatia,0,0,0,0,0,,,,,,,
Curaçao,0,0,0,0,0,,,,,,,
Cyprus,0,0,0,0,0,,,,,,,
Czech Republic,0,0,0,0,0,,,,,,,
Dem. Rep. Korea,0,0,0,0,0,,,,,,,
Denmark,0,0,0,0,0,,,,,,,
Djibouti,0,0,0,0,0,,,,,,,
Dominica,0,0,0,0,0,,,,,,,
Egypt,0,0,0,0,0,,,,,,,
El Salvador,0,0,0,0,0,,,,,,,
Estonia,0,0,0,0,0,,,,,,,
Faeroe Islands,0,0,0,0,0,,,,,,,
Falkland Islands,0,0,0,0,0,,,,,,,
Federated States of Micronesia,0,0,0,0,0,,,,,,,
Fiji,0,0,0,0,0,,,,,,,
Finland,0,0,0,0,0,,,,,,,
France,0,0,0,0,0,,,,,,,
French Polynesia,0,0,0,0,0,,,,,,,
French Southern and Antarctic Lands,0,0,0,0,0,,,,,,,
Georgia,0,0,0,0,0,,,,,,,
Germany,0,0,0,0,0,,,,,,,
Greece,0,0,0,0,0,,,,,,,
Greenland,0,0,0,0,0,,,,,,,
Grenada,0,0,0,0,0,,,,,,,
Guam,0,0,0,0,0,,,,,,,
Guernsey,0,0,0,0,0,,,,,,,
Guinea,0,0,0,0,0,,,,,,,
Heard I. and McDonald Islands,0,0,0,0,0,,,,,,,
Hong Kong,0,0,0,0,0,,,,,,,
Hungary,0,0,0,0,0,,,,,,,
Iceland,0,0,0,0,0,,,,,,,
Indian Ocean Territories,0,0,0,0,0,,,,,,,
Iraq,0,0,0,0,0,,,,,,,
Ireland,0,0,0,0,0,,,,,,,
Isle of Man,0,0,0,0,0,,,,,,,
Israel,0,0,0,0,0,,,,,,,
Italy,0,0,0,0,0,,,,,,,
Jersey,0,0,0,0,0,,,,,,,
Jordan,0,0,0,0,0,,,,,,,
Kazakhstan,0,0,0,0,0,,,,,,,
Kiribati,0,0,0,0,0,,,,,,,
Kosovo,0,0,0,0,0,,,,,,,
Kuwait,0,0,0,0,0,,,,,,,
Kyrgyzstan,0,0,0,0,0,,,,,,,
Latvia,0,0,0,0,0,,,,,,,
Lebanon,0,0,0,0,0,,,,,,,
Lesotho,0,0,0,0,0,,,,,,,
Libya,0,0,0,0,0,,,,,,,
Liechtenstein,0,0,0,0,0,,,,,,,
Lithuania,0,0,0,0,0,,,,,,,
Luxembourg,0,0,0,0,0,,,,,,,
Macao,0,0,0,0,0,,,,,,,
Macedonia,0,0,0,0,0,,,,,,,
